province,province_code,city,city_code,area,area_code,zip
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Baobaoan,PH-AGN-1-14,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Basag,PH-AGN-1-15,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Bayanihan Pob. (Bgy. 27),PH-AGN-1-16,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Bilay,PH-AGN-1-17,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Bitan-agan,PH-AGN-1-18,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Bit-os,PH-AGN-1-19,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Bobon,PH-AGN-1-20,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Bonbon,PH-AGN-1-21,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Bugabus,PH-AGN-1-22,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Bugsukan,PH-AGN-1-23,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Buhangin Pob. (Bgy. 19),PH-AGN-1-24,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Cabcabon,PH-AGN-1-25,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Camayahan,PH-AGN-1-26,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Dagohoy Pob. (Bgy. 7),PH-AGN-1-27,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Dankias,PH-AGN-1-28,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,De Oro,PH-AGN-1-29,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Diego Silang Pob. (Bgy. 6),PH-AGN-1-30,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Don Francisco,PH-AGN-1-31,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Doongan,PH-AGN-1-32,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Dulag,PH-AGN-1-33,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Dumalagan,PH-AGN-1-34,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Florida,PH-AGN-1-35,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Golden Ribbon Pob. (Bgy. 2),PH-AGN-1-36,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Holy Redeemer Pob. (Bgy. 23),PH-AGN-1-37,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Humabon Pob. (Bgy. 11),PH-AGN-1-38,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Imadejas Pob. (Bgy. 24),PH-AGN-1-39,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Jose Rizal Pob. (Bgy. 25),PH-AGN-1-40,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Kinamlutan,PH-AGN-1-41,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Lapu-lapu Pob. (Bgy. 8),PH-AGN-1-42,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Lemon,PH-AGN-1-43,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Leon Kilat Pob. (Bgy. 13),PH-AGN-1-44,8600
