state,country,city,zip
AK,Prince of Wales-Hyder Census Area,POINT BAKER,99927
AK,Ketchikan Gateway Borough,WARD COVE,99928
AK,Wrangell City and Borough,WRANGELL,99929
AK,Ketchikan Gateway Borough,KETCHIKAN,99950
AL,Cherokee County,ROME,30165
AL,Cherokee County,LYERLY,30730
AL,Russell County,FORT BENNING,31905
AL,St. Clair County,MOODY,35004
AL,Jefferson County,ADAMSVILLE,35005
AL,Jefferson County,ADGER,35006
AL,Shelby County,ALABASTER,35007
AL,Coosa County,ALEXANDER CITY,35010
AL,Tallapoosa County,ALEXANDER CITY,35011
AL,Blount County,ALLGOOD,35013
AL,Talladega County,ALPINE,35014
AL,Jefferson County,ALTON,35015
AL,Blount County,ARAB,35016
AL,Cullman County,BAILEYTON,35019
AL,Jefferson County,BESSEMER,35020
AL,Jefferson County,BESSEMER,35021
AL,Jefferson County,BESSEMER,35022
AL,Jefferson County,BESSEMER,35023
AL,Blount County,BLOUNTSVILLE,35031
AL,Talladega County,BON AIR,35032
AL,Cullman County,BREMEN,35033
AL,Bibb County,BRENT,35034
AL,Bibb County,BRIERFIELD,35035
AL,Jefferson County,BROOKSIDE,35036
AL,Walker County,BURNWELL,35038
AL,Chilton County,CALERA,35040
AL,Jefferson County,CARDIFF,35041
AL,Bibb County,CENTREVILLE,35042
AL,Shelby County,CHELSEA,35043
AL,Talladega County,CHILDERSBURG,35044
AL,Chilton County,CLANTON,35045
AL,Chilton County,CLANTON,35046
AL,Jefferson County,CLAY,35048
AL,Blount County,CLEVELAND,35049
AL,Shelby County,COLUMBIANA,35051
AL,St. Clair County,COOK SPRINGS,35052
AL,Cullman County,CRANE HILL,35053
AL,St. Clair County,CROPWELL,35054
AL,Cullman County,CULLMAN,35055
AL,Cullman County,CULLMAN,35056
AL,Cullman County,CULLMAN,35057
AL,Cullman County,CULLMAN,35058
AL,Jefferson County,DOCENA,35060
AL,Jefferson County,DOLOMITE,35061
AL,Jefferson County,DORA,35062
AL,Blount County,EMPIRE,35063
AL,Jefferson County,FAIRFIELD,35064
AL,Jefferson County,FULTONDALE,35068
AL,Cullman County,GARDEN CITY,35070
AL,Jefferson County,GARDENDALE,35071
AL,Clay County,GOODWATER,35072
AL,Jefferson County,GRAYSVILLE,35073
AL,Bibb County,GREEN POND,35074
AL,Cullman County,HANCEVILLE,35077
AL,Shelby County,HARPERSVILLE,35078
AL,Blount County,HAYDEN,35079
AL,Shelby County,HELENA,35080
AL,Clay County,HOLLINS,35082
AL,Cullman County,HOLLY POND,35083
AL,Chilton County,JEMISON,35085
AL,Cullman County,JOPPA,35087
AL,Coosa County,KELLYTON,35089
AL,Jefferson County,KIMBERLY,35091
AL,Jefferson County,LEEDS,35094
AL,Calhoun County,LINCOLN,35096
AL,Blount County,LOCUST FORK,35097
AL,Cullman County,LOGAN,35098
AL,Tuscaloosa County,LAKE VIEW,35111
AL,St. Clair County,MARGARET,35112
AL,Shelby County,ALABASTER,35114
AL,Bibb County,MONTEVALLO,35115
AL,Jefferson County,MORRIS,35116
AL,Jefferson County,MOUNT OLIVE,35117
AL,Jefferson County,MULGA,35118
AL,Jefferson County,NEW CASTLE,35119
AL,St. Clair County,ODENVILLE,35120
AL,Blount County,ONEONTA,35121
AL,Jefferson County,PALMERDALE,35123
AL,Shelby County,HOOVER,35124
AL,St. Clair County,PELL CITY,35125
AL,Blount County,PINSON,35126
AL,Jefferson County,PLEASANT GROVE,35127
AL,St. Clair County,PELL CITY,35128
AL,Jefferson County,QUINTON,35130
AL,St. Clair County,RAGLAND,35131
AL,Blount County,REMLAP,35133
AL,St. Clair County,RIVERSIDE,35135
AL,Coosa County,ROCKFORD,35136
AL,Shelby County,SAGINAW,35137
AL,Jefferson County,SAYRE,35139
AL,Jefferson County,SHANNON,35142
AL,Shelby County,SHELBY,35143
AL,Shelby County,SILURIA,35144
AL,Blount County,SPRINGVILLE,35146
AL,Shelby County,STERRETT,35147
AL,Jefferson County,SUMITON,35148
AL,Talladega County,SYCAMORE,35149
AL,Coosa County,SYLACAUGA,35150
AL,Talladega County,CHILDERSBURG,35151
AL,Clay County,TALLADEGA,35160
AL,Talladega County,TALLADEGA,35161
AL,Chilton County,THORSBY,35171
AL,Blount County,TRAFFORD,35172
AL,Jefferson County,TRUSSVILLE,35173
AL,Marshall County,CHEROKEE RIDGE,35175
AL,Shelby County,VANDIVER,35176
AL,St. Clair County,VINCENT,35178
AL,Cullman County,VINEMONT,35179
AL,Blount County,WARRIOR,35180
AL,Jefferson County,WATSON,35181
AL,St. Clair County,WATTSVILLE,35182
AL,Coosa County,WEOGUFKA,35183
AL,Bibb County,WEST BLOCTON,35184
AL,Shelby County,WESTOVER,35185
AL,Shelby County,WILSONVILLE,35186
AL,Shelby County,WILTON,35187
AL,Bibb County,WOODSTOCK,35188
AL,Jefferson County,BIRMINGHAM,35201
AL,Jefferson County,BIRMINGHAM,35202
AL,Jefferson County,BIRMINGHAM,35203
AL,Jefferson County,BIRMINGHAM,35204
AL,Jefferson County,BIRMINGHAM,35205
AL,Jefferson County,BIRMINGHAM,35206
AL,Jefferson County,BIRMINGHAM,35207
AL,Jefferson County,BIRMINGHAM,35208
AL,Jefferson County,BIRMINGHAM,35209
AL,Jefferson County,BIRMINGHAM,35210
AL,Jefferson County,BIRMINGHAM,35211
AL,Jefferson County,BIRMINGHAM,35212
AL,Jefferson County,BIRMINGHAM,35213
AL,Jefferson County,BIRMINGHAM,35214
AL,Jefferson County,BIRMINGHAM,35215
AL,Jefferson County,BIRMINGHAM,35216
AL,Jefferson County,BIRMINGHAM,35217
AL,Jefferson County,BIRMINGHAM,35218
AL,Jefferson County,BIRMINGHAM,35219
AL,Jefferson County,BIRMINGHAM,35220
AL,Jefferson County,BIRMINGHAM,35221
AL,Jefferson County,BIRMINGHAM,35222
AL,Jefferson County,BIRMINGHAM,35223
AL,Jefferson County,BIRMINGHAM,35224
AL,Jefferson County,BIRMINGHAM,35226
AL,Jefferson County,BIRMINGHAM,35228
AL,Jefferson County,BIRMINGHAM,35229
AL,Jefferson County,BIRMINGHAM,35231
AL,Jefferson County,BIRMINGHAM,35232
AL,Jefferson County,BIRMINGHAM,35233
AL,Jefferson County,BIRMINGHAM,35234
AL,Jefferson County,BIRMINGHAM,35235
AL,Jefferson County,BIRMINGHAM,35236
AL,Jefferson County,BIRMINGHAM,35237
AL,Jefferson County,BIRMINGHAM,35238
AL,Jefferson County,BIRMINGHAM,35242
AL,Jefferson County,BIRMINGHAM,35243
AL,Jefferson County,BIRMINGHAM,35244
AL,Jefferson County,BIRMINGHAM,35246
AL,Jefferson County,BIRMINGHAM,35249
AL,Jefferson County,BIRMINGHAM,35253
AL,Jefferson County,BIRMINGHAM,35254
AL,Jefferson County,BIRMINGHAM,35255
AL,Jefferson County,BIRMINGHAM,35259
AL,Jefferson County,BIRMINGHAM,35260
AL,Jefferson County,BIRMINGHAM,35261
AL,Jefferson County,BIRMINGHAM,35266
AL,Jefferson County,BIRMINGHAM,35270
AL,Jefferson County,BIRMINGHAM,35282
AL,Jefferson County,BIRMINGHAM,35283
AL,Jefferson County,BIRMINGHAM,35285
AL,Jefferson County,BIRMINGHAM,35287
AL,Jefferson County,BIRMINGHAM,35288
AL,Jefferson County,BIRMINGHAM,35290
AL,Jefferson County,BIRMINGHAM,35291
AL,Jefferson County,BIRMINGHAM,35292
AL,Jefferson County,BIRMINGHAM,35293
AL,Jefferson County,BIRMINGHAM,35294
AL,Jefferson County,BIRMINGHAM,35295
AL,Jefferson County,BIRMINGHAM,35296
AL,Jefferson County,BIRMINGHAM,35297
AL,Jefferson County,BIRMINGHAM,35298
AL,Tuscaloosa County,TUSCALOOSA,35401
AL,Tuscaloosa County,TUSCALOOSA,35402
AL,Tuscaloosa County,TUSCALOOSA,35403
AL,Tuscaloosa County,TUSCALOOSA,35404
AL,Tuscaloosa County,TUSCALOOSA,35405
AL,Tuscaloosa County,TUSCALOOSA,35406
AL,Tuscaloosa County,TUSCALOOSA,35407
AL,Tuscaloosa County,ABERNANT,35440
AL,Hale County,AKRON,35441
AL,Greene County,ALICEVILLE,35442
