countryName,countryArName,state_en_Name,state_Ar_Name,state_code,city_en_Name,city_Ar_Name,city_code
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Ash Shara'i',الشرائع,SA-MK-60
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Ar Rawdah,الروضه,SA-MK-61
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Umm Aldoom,أم الدوم,SA-MK-62
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Hadda,حدة,SA-MK-63
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Harazat,حي حرازات,SA-MK-64
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Arafa,العرفاء ,SA-MK-65
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Dhalm,ظلم ,SA-MK-66
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Bahra,بحرة,SA-MK-67
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Malakan,ملكان,SA-MK-68
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Al Ju'ranah,الجعرانة,SA-MK-69
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Walyal Ahd Dist.,ولي العهد,SA-MK-70
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Al Sir,السر,SA-MK-71
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Shoqsan,شقصان,SA-MK-72
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Muhameed,حي محاميد,SA-MK-73
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Al Idabi,العيدابي,SA-GZ-0
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Thabya,ضبية,SA-GZ-1
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Samtah,صامطه,SA-GZ-2
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Sabya,صبيا,SA-GZ-3
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Khasawyah,الخصاوية,SA-GZ-4
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Karboos,الكربوس,SA-GZ-5
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Gizan,جيزان,SA-GZ-6
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Farasan,فرسان,SA-GZ-7
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Darb,الدرب,SA-GZ-8
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Damad,ضمد,SA-GZ-9
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Bish,بيشة,SA-GZ-10
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Ahad Masarha,احد المسارحة,SA-GZ-11
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Abu Areish,ابو عريش,SA-GZ-12
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Al Reeth,الريث,SA-GZ-13
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Al Aridhah,العارضة,SA-GZ-14
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Harub,هروب,SA-GZ-15
Saudi Arabia,المملكة العربية السعودية,Jizan{Gizan},جازان,SA-GZ,Addayer,الدائر,SA-GZ-16
